,tradePrice,segment,productType,tradedQty,symbol,orderDateTime,tradeValue,side,orderType
12,211.72,10,CO,2,NSE:KARURVYSYA-EQ,18-11-2024 13:37,423.44,-1,2
0,1549.75,10,CO,1,NSE:BHARTIARTL-EQ,19-11-2024 12:09,1549.75,-1,2
1,1775.95,10,CO,1,NSE:SUNPHARMA-EQ,19-11-2024 12:13,1775.95,1,2
2,1553.55,10,CO,1,NSE:BHARTIARTL-EQ,19-11-2024 11:34,1553.55,1,2
3,1284.05,10,CO,1,NSE:UTIAMC-EQ,19-11-2024 09:46,1284.05,-1,2
4,1777,10,CO,1,NSE:SUNPHARMA-EQ,19-11-2024 12:17,1777,-1,2
5,1785.1,10,CO,1,NSE:SUNPHARMA-EQ,19-11-2024 12:35,1785.1,-1,2
6,1780.5,10,CO,1,NSE:SUNPHARMA-EQ,19-11-2024 12:20,1780.5,1,2
7,1278.8,10,CO,1,NSE:UTIAMC-EQ,19-11-2024 09:36,1278.8,1,2
0,647.9,10,CO,1,NSE:HINDALCO-EQ,21-11-2024 11:28,647.9,-1,2
1,1580.6,10,CO,1,NSE:IPCALAB-EQ,21-11-2024 12:30,1580.6,1,1
2,1788.85,10,CO,1,NSE:SUNPHARMA-EQ,21-11-2024 10:38,1788.85,1,2
3,790.8,10,CO,1,NSE:INDHOTEL-EQ,21-11-2024 14:08,790.8,1,2
4,1744.15,10,CO,1,NSE:HDFCBANK-EQ,21-11-2024 13:45,1744.15,-1,2
5,682.4,10,CO,1,NSE:FORTIS-EQ,21-11-2024 12:58,682.4,-1,2
6,1574.1,10,CO,1,NSE:IPCALAB-EQ,21-11-2024 12:57,1574.1,-1,1
7,648.95,10,CO,1,NSE:HINDALCO-EQ,21-11-2024 11:31,648.95,1,2
8,790.8,10,CO,1,NSE:INDHOTEL-EQ,21-11-2024 14:08,790.8,1,2
9,1571.7,10,CO,1,NSE:IPCALAB-EQ,21-11-2024 12:57,1571.7,-1,2
10,648.35,10,CO,1,NSE:HINDALCO-EQ,21-11-2024 11:05,648.35,1,2
11,1575.05,10,CO,1,NSE:IPCALAB-EQ,21-11-2024 13:23,1575.05,1,2
12,1746.25,10,CO,1,NSE:HDFCBANK-EQ,21-11-2024 13:28,1746.25,1,1
13,764.3,10,INTRADAY,1,BSE:INDHOTEL-A,21-11-2024 09:32,764.3,1,2
14,712,10,CO,1,NSE:ZENSARTECH-EQ,21-11-2024 11:59,712,-1,2
15,1784.9,10,CO,1,NSE:SUNPHARMA-EQ,21-11-2024 10:55,1784.9,-1,2
16,652.45,10,CO,1,NSE:HINDALCO-EQ,21-11-2024 11:59,652.45,-1,2
17,766.95,10,INTRADAY,1,BSE:INDHOTEL-A,21-11-2024 09:46,766.95,-1,2
18,712,10,CO,1,NSE:ZENSARTECH-EQ,21-11-2024 10:55,712,1,2
19,787.5,10,CO,1,NSE:INDHOTEL-EQ,21-11-2024 14:27,787.5,-1,2
20,787.5,10,CO,1,NSE:INDHOTEL-EQ,21-11-2024 14:27,787.5,-1,2
21,684.95,10,CO,1,NSE:FORTIS-EQ,21-11-2024 12:34,684.95,1,2
0,1724.3,10,CO,1,NSE:TECHM-EQ,22-11-2024 09:54,1724.3,-1,2
1,727,10,CO,1,NSE:ZENSARTECH-EQ,22-11-2024 09:36,727,-1,2
2,721.35,10,CO,1,NSE:ZENSARTECH-EQ,22-11-2024 09:26,721.35,1,2
3,788.75,10,CO,1,NSE:INDHOTEL-EQ,22-11-2024 09:36,788.75,-1,2
4,1245,10,CO,1,NSE:RELIANCE-EQ,22-11-2024 13:13,1245,1,2
5,790.75,10,CO,1,NSE:INDHOTEL-EQ,22-11-2024 09:23,790.75,1,2
6,1246.6,10,CO,1,NSE:RELIANCE-EQ,22-11-2024 13:43,1246.6,-1,2
7,330.05,10,CO,1,NSE:POWERGRID-EQ,22-11-2024 09:32,330.05,1,2
8,330.55,10,CO,1,NSE:POWERGRID-EQ,22-11-2024 09:38,330.55,-1,2
9,1721.6,10,CO,1,NSE:TECHM-EQ,22-11-2024 09:46,1721.6,1,2
0,731.95,10,CO,1,NSE:ZENSARTECH-EQ,25-11-2024 12:17,731.95,-1,2
1,837.25,10,CO,1,NSE:EIDPARRY-EQ,25-11-2024 10:46,837.25,1,2
2,730.9,10,CO,1,NSE:ZENSARTECH-EQ,25-11-2024 10:36,730.9,1,2
3,840.8,10,CO,1,NSE:EIDPARRY-EQ,25-11-2024 11:23,840.8,-1,2
0,1927.45,10,CO,1,NSE:INFY-EQ,26-11-2024 11:43,1927.45,1,2
1,1931.7,10,CO,1,NSE:INFY-EQ,26-11-2024 14:43,1931.7,1,2
2,1925.55,10,CO,1,NSE:INFY-EQ,26-11-2024 15:09,1925.55,-1,2
3,1188.05,10,CO,1,NSE:VIJAYA-EQ,26-11-2024 09:27,1188.05,1,2
4,1192.6,10,CO,1,NSE:VIJAYA-EQ,26-11-2024 09:33,1192.6,-1,2
5,1928.4,10,CO,1,NSE:INFY-EQ,26-11-2024 14:26,1928.4,-1,2
0,235.01,10,CO,2,NSE:ASHOKLEY-EQ,27-11-2024 11:37,470.02,-1,2
1,687.7,10,CO,1,NSE:HDFCLIFE-EQ,27-11-2024 09:45,687.7,1,2
2,767.9,10,CO,1,NSE:ZENSARTECH-EQ,27-11-2024 09:58,767.9,-1,2
3,234.37,10,CO,2,NSE:ASHOKLEY-EQ,27-11-2024 10:44,468.74,1,2
4,759.85,10,CO,1,NSE:ZENSARTECH-EQ,27-11-2024 09:41,759.85,1,1
5,684.2,10,CO,1,NSE:HDFCLIFE-EQ,27-11-2024 10:07,684.2,-1,2
0,307.55,10,CO,2,NSE:BEL-EQ,28-11-2024 10:00,615.1,1,1
1,308.8,10,CO,2,NSE:BEL-EQ,28-11-2024 10:15,617.6,-1,2
0,1292.15,10,CO,1,NSE:RELIANCE-EQ,29-11-2024 15:04,1292.15,-1,2
1,1293.85,10,CO,1,NSE:RELIANCE-EQ,29-11-2024 14:34,1293.85,1,2
2,199.06,10,CO,2,NSE:GAIL-EQ,29-11-2024 10:33,398.12,-1,2
3,1297.85,10,CO,1,NSE:RELIANCE-EQ,29-11-2024 13:32,1297.85,1,2
4,1293.4,10,CO,1,NSE:RELIANCE-EQ,29-11-2024 14:34,1293.4,1,2
5,1290.2,10,CO,1,NSE:RELIANCE-EQ,29-11-2024 14:17,1290.2,-1,2
6,1290.1,10,CO,1,NSE:RELIANCE-EQ,29-11-2024 14:16,1290.1,-1,1
7,197.92,10,CO,2,NSE:GAIL-EQ,29-11-2024 10:21,395.84,1,1
8,198.23,10,CO,2,NSE:GAIL-EQ,29-11-2024 09:27,396.46,1,2
9,199.06,10,CO,2,NSE:GAIL-EQ,29-11-2024 10:33,398.12,-1,2
0,198.01,10,CO,2,NSE:GAIL-EQ,02-12-2024 10:28,396.02,-1,2
1,198.52,10,CNC,2,NSE:GAIL-EQ,02-12-2024 14:34,397.04,-1,2
2,198.2,10,CNC,2,NSE:GAIL-EQ,02-12-2024 12:24,396.4,1,2
3,199.15,10,CO,2,NSE:GAIL-EQ,02-12-2024 09:40,398.3,1,2
4,1632.75,10,CO,1,NSE:BHARTIARTL-EQ,02-12-2024 11:57,1632.75,-1,2
5,1641.45,10,CO,1,NSE:BHARTIARTL-EQ,02-12-2024 10:41,1641.45,1,2
6,1637.6,10,CO,1,NSE:BHARTIARTL-EQ,02-12-2024 11:09,1637.6,1,2
7,199.01,10,CO,2,NSE:GAIL-EQ,02-12-2024 09:46,398.02,1,2
8,1292.15,10,CO,1,NSE:UTIAMC-EQ,02-12-2024 10:40,1292.15,-1,2
9,1298.3,10,CO,1,NSE:UTIAMC-EQ,02-12-2024 09:24,1298.3,1,1
10,143.14,10,CO,2,NSE:LTF-EQ,02-12-2024 11:03,286.28,1,1
11,198.01,10,CO,2,NSE:GAIL-EQ,02-12-2024 10:28,396.02,-1,2
12,143.44,10,CO,2,NSE:LTF-EQ,02-12-2024 12:13,286.88,-1,2
13,1634.75,10,CO,1,NSE:BHARTIARTL-EQ,02-12-2024 10:52,1634.75,-1,2
